@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
1304,'2022/01/20 16:30:39:470',101,40,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1305,'2022/01/20 16:30:39:570',101,40,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1306,'2022/01/20 16:30:39:670',101,40,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1307,'2022/01/20 16:30:39:770',101,40,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1308,'2022/01/20 16:30:39:870',101,40,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1309,'2022/01/20 16:30:39:970',101,40,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1310,'2022/01/20 16:30:46:170',102,64,42,0.4177,0.2984,23,0.471,55,16.16,46,3.3,0.3
1311,'2022/01/20 16:30:46:270',102,64,42,0.2441,0.1933,23,0.471,55,16.16,46,3.3,0.3
1312,'2022/01/20 16:30:46:370',102,64,42,0.1831,0.1472,23,0.471,55,16.16,46,3.3,0.3
1313,'2022/01/20 16:30:46:470',102,64,42,0.119,0.0969,23,0.471,55,16.16,46,3.3,0.3
1314,'2022/01/20 16:30:46:571',102,64,42,0.0674,0.0564,23,0.471,55,16.16,46,3.3,0.3
1315,'2022/01/20 16:30:46:670',102,64,42,0.0275,0.0245,23,0.471,55,16.16,46,3.3,0.3
1316,'2022/01/20 16:30:46:770',102,52,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1317,'2022/01/20 16:30:46:870',102,64,42,0.0166,0.016,23,0.471,55,16.16,46,3.3,0.3
1318,'2022/01/20 16:30:46:970',102,64,42,0.0294,0.0303,23,0.471,55,16.16,46,3.3,0.3
1319,'2022/01/20 16:30:47:070',102,64,42,0.0371,0.0413,23,0.471,55,16.16,46,3.3,0.3
1320,'2022/01/20 16:30:47:170',102,64,42,0.0408,0.0494,23,0.471,55,16.16,46,3.3,0.3
1321,'2022/01/20 16:30:47:270',102,64,42,0.0418,0.0557,23,0.471,55,16.16,46,3.3,0.3
1322,'2022/01/20 16:30:47:370',102,64,42,0.041,0.0614,23,0.471,55,16.16,46,3.3,0.3
1323,'2022/01/20 16:30:47:470',102,64,42,0.0394,0.0658,23,0.471,55,16.16,46,3.3,0.3
1324,'2022/01/20 16:30:47:571',102,64,42,0.0381,0.0684,23,0.471,55,16.16,46,3.3,0.3
